base_risk,max_positions,max_new,exposure_mult,vol_scale,cagr,max_dd,final
0.025,6,1,1.2,True,14.292814060899905,25.25733150414412,306742.08438282134
0.025,6,1,1.2,False,15.441611438109382,27.551328859996087,336232.7962701651
0.025,6,2,0.9,True,15.18497200808464,21.791651115675243,329434.01466972916
0.025,6,2,0.9,False,17.32014661883481,22.791873992920323,389927.48335185286
0.025,6,2,1.0,True,15.665032578299787,20.53041181428686,342253.07320294564
0.025,6,2,1.0,False,17.10302692144079,19.77805797121534,383353.9177232105
0.025,6,2,1.1,True,15.038823484446384,21.053751500172396,325617.29923838435
0.025,6,2,1.1,False,16.346698067441046,21.631486232582457,361219.23501341825
0.025,6,2,1.2,True,13.489171960529855,25.619727390551144,287505.16156532336
0.025,6,2,1.2,False,14.646008317609493,28.042123051174823,315553.3277859334
0.025,6,3,0.9,True,14.48494796914861,19.91037000468361,311507.71952110867
0.025,6,3,0.9,False,17.45219611133393,22.308284578958368,393974.3862361652
0.025,6,3,1.0,True,16.873255622585436,20.990244072078625,376505.0245574178
0.025,6,3,1.0,False,18.868010225753018,20.46494245997986,439776.3891047308
0.025,6,3,1.1,True,16.861145149667145,21.52188682273183,376147.08655462705
0.025,6,3,1.1,False,18.00488830788245,21.521064024346803,411321.8479506319
0.025,6,3,1.2,True,14.688146585904605,26.7948037348089,316619.47810118133
0.025,6,3,1.2,False,17.04822456576105,27.07575060633893,381710.39723981125
0.025,8,1,0.9,True,13.210975628882359,29.205214530212515,281100.9150977449
0.025,8,1,0.9,False,15.454488729138927,28.471382874949015,336577.20599591045
0.025,8,1,1.0,True,12.82852369363303,29.00236926443328,272504.18673217413
0.025,8,1,1.0,False,16.04889196339667,31.250381118789765,352821.0826413934
0.025,8,1,1.1,True,14.619161977557171,32.45994428372139,314875.7515455702
0.025,8,1,1.1,False,15.962414806017966,34.77666404428372,350415.24138525006
0.025,8,1,1.2,True,13.074032187582718,36.798513479473016,277995.335150918
0.025,8,1,1.2,False,14.575565978607452,40.56742342848162,313778.19144782913
0.025,8,2,0.9,True,15.422237034464882,21.675593582253853,335715.2095928475
0.025,8,2,0.9,False,17.127752662119853,24.61594223708237,384097.5037135019
0.025,8,2,1.0,True,15.089268189004535,23.41904799522361,326930.2020872284
0.025,8,2,1.0,False,17.511580796232874,22.679581048410206,395806.5086497611
0.025,8,2,1.1,True,15.953318659197468,23.47774235730047,350163.0333099585
0.025,8,2,1.1,False,17.056585730851005,23.107458942677013,381960.74165968783
0.025,8,2,1.2,True,14.892515411325281,25.309565206471614,321835.9330341352
0.025,8,2,1.2,False,16.092676761008207,26.198563116812874,354044.8028084709
0.025,8,3,0.9,True,19.585121088163437,19.540064317385983,464737.54258673976
0.025,8,3,0.9,False,21.345541561752988,21.949691603374887,531448.4956695323
0.025,8,3,1.0,True,19.0055913053818,20.671517111417394,444470.5404335091
0.025,8,3,1.0,False,20.84933392685557,21.426253914763677,511831.8818595589
0.025,8,3,1.1,True,18.566268116588592,23.365963227964546,429635.5536788881
0.025,8,3,1.1,False,20.10544893525472,24.22653662973592,483631.4495723781
0.025,8,3,1.2,True,17.90793501298207,24.321559827357213,408230.40859233576
0.025,8,3,1.2,False,18.508331322549854,25.087666934758175,427712.4577374908
0.025,10,1,0.9,True,14.88800735348812,27.837093400474345,321720.04524369875
0.025,10,1,0.9,False,17.48289535513461,29.135480357915956,394920.56642557005
0.025,10,1,1.0,True,14.976198971025712,28.103942973120954,323993.93531874253
0.025,10,1,1.0,False,17.368579490304015,31.413409025316994,391407.47691365826
0.025,10,1,1.1,True,15.515649123754027,32.086509095661135,338217.2677821941
0.025,10,1,1.1,False,17.11302139989135,36.01478348089518,383654.3306323965
0.025,10,1,1.2,True,14.911652032726174,37.40614289337444,322328.28873692127
0.025,10,1,1.2,False,16.75461091354631,41.25668455714457,373011.3948822927
0.025,10,2,0.9,True,17.349410120519405,21.970952318676922,390821.109060133
0.025,10,2,0.9,False,19.418731993299243,23.223542540351165,458836.0655414576
